stable_source_number,display_reference_number,first_author
1,1,K. R. R. Ranasinghe
2,2,J. An
3,3,S. Yang
4,5,Z. Akram
5,6,R. Neuder
6,7,F. Li
7,22,Y. Bai
8,8,X. Ni
9,9,Y. Saifullah
10,10,A. Tishchenko
11,11,W. Ma
12,12,V. Kumar
13,13,L. He
14,14,X. Zhu
15,18,I. A. Morales Sandoval
16,19,M. Guo
17,20,D. Lu
18,21,D. Lu
19,4,C. Xu
20,23,M. Gal-Katziri
21,24,M. Alesheikh
22,25,J. Budhu
23,26,I. Yoo and D. R. Smith
24,28,H. Li
25,27,F. Pepe
26,29,H. Chen
27,30,T. Harz
28,31,T. Harz and T. Kleine-Ostmann
29,32,J. An
30,33,H. Hu
31,34,J. Xiao
32,35,J. An
34,36,A. Bansal
35,16,K. Kim
36,17,S. Park
37,15,A. Magbool
