openalex_id,title,stage2_system_paper,exclusion_reason,full_text_inspected,full_text_source,timing_terminology_hit,table7_row,author_network_status,final_role,version_family
W4378953755,Digital Mechanical Metasurfaces for Reprogrammable Structural Display,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4379741950,Imaging skins: stretchable and conformable on-organ beta particle detectors for radioguided surgery,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4386515498,Contactless deformation of fluid interfaces by acoustic radiation pressure,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4390018281,One-Bit Reconfigurable Reflective Metasurface Based on Electromagnetically Wideband Element,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4391816494,Programming quadric metasurfaces via infinitesimal origami maps of monohedral hexagonal tessellations: Part I,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4391849331,One-bit reconfigurable reflective metasurface based on electromagnetically wideband element,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4401878406,Energy-efficient dynamic 3D metasurfaces via spatiotemporal jamming interleaved assemblies for tactile interfaces,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4404780779,The rise of intelligent adaptive metasurfaces,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4407103184,Research progress on the principle and application of metalenses based on metasurfaces,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4409963684,Accelerating Cross‐Scenario Metasurface Adaptability with Plug‐and‐Play Kernel,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4410530307,Digitally coded carbon ink based reflective surface (RS) for anomalous reflection,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4411887348,Analysis and design of arbitrary 3D curved Pancharatnam-Berry phase THz metasurface with high aperture efficiency,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4412490113,AI-empowered optical metasurfaces: From unit-cell optimization to system-level integration,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4413368742,Magnetic Kirigami Metasurfaces with Reprogrammed Multifunctionalities,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4414085592,Nanoimprinting Pattern on Responsive Microwrinkles for Dynamic Optical Diffraction and Reflection,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4414867281,Dynamic structural color modulation using QBIC-Sb<sub>2</sub>S<sub>3</sub> phase-change metasurfaces,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4415383472,From performance to structure: a comprehensive survey of advanced metasurface design for next-generation imaging,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4415471517,Cloaking and Antennas: From Theoretical Paradigms to Next‐Generation Intelligent Systems,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4415556370,Broadband Full Functional Reconfigurable Polarization Converter Based on Active Metasurface,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4416154367,Inverse design of reconfigurable terahertz metasurface with wide phase modulation range via a high–precision CNN–transformer framework,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
